ENTIDAD,FECHA
CHIHUAHUA,7/28/2011
CHIHUAHUA,8/2/2011
CHIHUAHUA,7/25/2011
CHIHUAHUA,10/17/2010
CHIHUAHUA,7/31/2011
CHIHUAHUA,3/13/2010
CHIHUAHUA,9/4/2011
CHIHUAHUA,10/8/2011
CHIHUAHUA,8/17/2011
CHIHUAHUA,10/16/2010
CHIHUAHUA,6/22/2011
CHIHUAHUA,7/2/2011
CHIHUAHUA,9/11/2011
CHIHUAHUA,7/7/2011
CHIHUAHUA,7/18/2011
CHIHUAHUA,6/12/2011
CHIHUAHUA,3/17/2011
CHIHUAHUA,4/28/2011
CHIHUAHUA,8/15/2010
CHIHUAHUA,7/24/2010
CHIHUAHUA,9/3/2010
CHIHUAHUA,3/22/2010
CHIHUAHUA,5/29/2010
CHIHUAHUA,7/16/2010
CHIHUAHUA,8/1/2010
CHIHUAHUA,7/22/2010
CHIHUAHUA,NO ESPECIFICADO
CHIHUAHUA,6/28/2010
CHIHUAHUA,10/2/2010
CHIHUAHUA,5/4/2011
CHIHUAHUA,3/26/2010
CHIHUAHUA,4/8/2011
CHIHUAHUA,6/1/2011
CHIHUAHUA,8/1/2008
CHIHUAHUA,6/1/2010
CHIHUAHUA,8/3/2007
CHIHUAHUA,7/17/2010
CHIHUAHUA,5/30/2010
CHIHUAHUA,6/26/2010
CHIHUAHUA,4/22/2011
SINALOA,4/1/2009
CHIHUAHUA,1/6/2009
CHIHUAHUA,6/2/2009
CHIHUAHUA,6/25/2009
CHIHUAHUA,7/17/2009
CHIHUAHUA,10/5/2009
CHIHUAHUA,2/26/2009
CHIHUAHUA,3/1/2009
DURANGO,7/18/2009
CHIHUAHUA,12/4/2009
CHIHUAHUA,1/5/2009
CHIHUAHUA,2/23/2009
CHIHUAHUA,1/25/2009
CHIHUAHUA,4/1/2009
CHIHUAHUA,5/13/2009
CHIHUAHUA,7/19/2009
CHIHUAHUA,9/14/2009
CHIHUAHUA,9/30/2009
CHIHUAHUA,11/16/2009
CHIHUAHUA,11/25/2009
CHIHUAHUA,12/29/2007
CHIHUAHUA,1/31/2008
CHIHUAHUA,2/17/2008
CHIHUAHUA,2/23/2008
CHIHUAHUA,2/14/2008
CHIHUAHUA,5/26/2008
CHIHUAHUA,6/1/2006
CHIHUAHUA,7/13/2008
CHIHUAHUA,5/2/2008
CHIHUAHUA,7/16/2008
CHIHUAHUA,7/13/2008
CHIHUAHUA,8/14/2008
CHIHUAHUA,6/1/2008
CHIHUAHUA,6/1/2006
CHIHUAHUA,10/4/2008
CHIHUAHUA,5/25/2008
CHIHUAHUA,8/20/2008
CHIHUAHUA,12/23/2008
CHIHUAHUA,12/1/2008
CHIHUAHUA,7/13/2008
CHIHUAHUA,1/21/2008
CHIHUAHUA,2/10/2008
CHIHUAHUA,2/10/2008
CHIHUAHUA,9/1/2007
CHIHUAHUA,4/4/2008
CHIHUAHUA,4/4/2008
CHIHUAHUA,3/1/2008
CHIHUAHUA,8/1/2007
CHIHUAHUA,8/11/2008
CHIHUAHUA,11/30/2008
CHIHUAHUA,8/11/2008
CHIHUAHUA,9/27/2008
CHIHUAHUA,9/27/2008
CHIHUAHUA,9/27/2008
CHIHUAHUA,9/27/2008
CHIHUAHUA,8/29/2009
CHIHUAHUA,10/16/2007
CHIHUAHUA,2/1/2007
CHIHUAHUA,2/1/2007
CHIHUAHUA,2/1/2007
CHIHUAHUA,2/24/2007
CHIHUAHUA,4/8/2007
CHIHUAHUA,7/16/2007
CHIHUAHUA,9/11/2007
CHIHUAHUA,6/12/2011
CHIHUAHUA,10/15/2010
CHIHUAHUA,10/15/2010
CHIHUAHUA,2/1/2009
CHIHUAHUA,1/21/2012
CHIHUAHUA,1/24/2012
CHIHUAHUA,6/1/2011
CHIHUAHUA,2/7/2012
CHIHUAHUA,12/29/2010
CHIHUAHUA,2/25/2012
CHIHUAHUA,1/18/2012
CHIHUAHUA,3/3/2012
CHIHUAHUA,11/1/2011
CHIHUAHUA,3/26/2012
CHIHUAHUA,3/26/2012
CHIHUAHUA,3/26/2012
CHIHUAHUA,4/6/2012
CHIHUAHUA,4/6/2012
CHIHUAHUA,4/4/2012
CHIHUAHUA,7/1/2011
CHIHUAHUA,4/27/2012
CHIHUAHUA,4/27/2012
CHIHUAHUA,2/13/2012
CHIHUAHUA,4/1/2012
CHIHUAHUA,3/1/2012
CHIHUAHUA,4/30/2012
CHIHUAHUA,1/1/2012
CHIHUAHUA,1/17/2012
CHIHUAHUA,2/13/2012
CHIHUAHUA,2/19/2012
CHIHUAHUA,2/16/2012
CHIHUAHUA,3/1/2011
CHIHUAHUA,7/1/2011
CHIHUAHUA,11/18/2011
CHIHUAHUA,4/24/2012
CHIHUAHUA,1/20/2012
CHIHUAHUA,1/23/2012
CHIHUAHUA,12/12/2011
CHIHUAHUA,1/1/2007
CHIHUAHUA,4/9/2012
CHIHUAHUA,4/9/2012
CHIHUAHUA,11/17/2010
CHIHUAHUA,4/22/2011
CHIHUAHUA,7/12/2010
CHIHUAHUA,4/24/2012
CHIHUAHUA,1/1/2012
NUEVO LEON,5/26/2011
NUEVO LEON,8/18/2011
NUEVO LEON,2/10/2011
NUEVO LEON,8/19/2010
NUEVO LEON,4/29/2011
NUEVO LEON,7/19/2007
NUEVO LEON,8/12/2010
NUEVO LEON,8/12/2010
NUEVO LEON,3/20/2011
NUEVO LEON,9/2/2011
NUEVO LEON,3/11/2011
NUEVO LEON,8/5/2010
NUEVO LEON,5/20/2011
NUEVO LEON,8/14/2011
NUEVO LEON,12/6/2010
NUEVO LEON,12/6/2010
NUEVO LEON,7/19/2011
NUEVO LEON,7/19/2011
NUEVO LEON,7/19/2011
NUEVO LEON,1/27/2011
NUEVO LEON,1/20/2011
NUEVO LEON,2/21/2011
NUEVO LEON,3/14/2011
NUEVO LEON,4/13/2011
NUEVO LEON,7/26/2011
NUEVO LEON,5/1/2011
NUEVO LEON,5/3/2011
NUEVO LEON,10/27/2010
NUEVO LEON,11/4/2010
NUEVO LEON,6/5/2011
NUEVO LEON,6/5/2011
NUEVO LEON,11/1/2010
NUEVO LEON,1/13/2011
NUEVO LEON,10/11/2010
NUEVO LEON,1/17/2010
NUEVO LEON,8/10/2009
NUEVO LEON,2/5/2011
NUEVO LEON,2/11/2011
NUEVO LEON,11/12/2010
NUEVO LEON,11/12/2010
NUEVO LEON,11/12/2010
NUEVO LEON,7/28/2010
NUEVO LEON,2/15/2011
NUEVO LEON,8/27/2011
NUEVO LEON,3/20/2011
NUEVO LEON,12/21/2010
NUEVO LEON,6/25/2011
NUEVO LEON,6/25/2011
NUEVO LEON,6/25/2011
NUEVO LEON,6/25/2011
NUEVO LEON,1/3/2011
NUEVO LEON,1/3/2011
NUEVO LEON,1/3/2011
NUEVO LEON,1/3/2011
NUEVO LEON,1/3/2011
NUEVO LEON,12/17/2008
NUEVO LEON,6/13/2011
NUEVO LEON,7/1/2011
NUEVO LEON,7/1/2011
NUEVO LEON,7/1/2011
NUEVO LEON,7/1/2011
NUEVO LEON,2/20/2011
NUEVO LEON,2/20/2011
NUEVO LEON,5/27/2011
NUEVO LEON,6/15/2011
NUEVO LEON,6/16/2011
NUEVO LEON,6/16/2011
NUEVO LEON,7/7/2011
NUEVO LEON,7/8/2011
NUEVO LEON,7/13/2011
NUEVO LEON,9/1/2011
NUEVO LEON,8/16/2010
NUEVO LEON,8/16/2010
NUEVO LEON,9/19/2011
NUEVO LEON,2/1/2011
NUEVO LEON,12/31/2010
NUEVO LEON,6/9/2010
NUEVO LEON,5/20/2010
NUEVO LEON,9/21/2011
NUEVO LEON,6/28/2011
NUEVO LEON,6/28/2011
NUEVO LEON,12/7/2010
NUEVO LEON,2/8/2011
NUEVO LEON,3/3/2011
NUEVO LEON,6/19/2011
NUEVO LEON,9/13/2009
NUEVO LEON,11/13/2010
NUEVO LEON,4/22/2010
NUEVO LEON,4/22/2010
NUEVO LEON,5/8/2008
NUEVO LEON,1/13/2010
NUEVO LEON,1/15/2010
NUEVO LEON,4/6/2010
NUEVO LEON,4/9/2010
NUEVO LEON,1/16/2010
NUEVO LEON,4/4/2010
NUEVO LEON,6/7/2010
NUEVO LEON,8/14/2010
NUEVO LEON,8/15/2010
NUEVO LEON,8/15/2010
NUEVO LEON,8/15/2010
NUEVO LEON,2/12/2010
NUEVO LEON,2/12/2010
NUEVO LEON,2/12/2010
NUEVO LEON,2/7/2010
NUEVO LEON,3/14/2010
NUEVO LEON,3/10/2010
NUEVO LEON,3/14/2010
NUEVO LEON,5/5/2010
NUEVO LEON,6/2/2010
NUEVO LEON,8/8/2009
NUEVO LEON,7/28/2010
NUEVO LEON,5/14/2010
NUEVO LEON,5/25/2010
NUEVO LEON,5/25/2010
NUEVO LEON,7/2/2010
NUEVO LEON,8/4/2010
NUEVO LEON,8/3/2010
NUEVO LEON,7/15/2010
NUEVO LEON,8/30/2010
NUEVO LEON,5/26/2010
NUEVO LEON,9/23/2010
NUEVO LEON,10/23/2010
NUEVO LEON,10/15/2010
NUEVO LEON,10/15/2010
NUEVO LEON,11/10/2010
NUEVO LEON,8/19/2010
NUEVO LEON,10/13/2010
NUEVO LEON,11/20/2010
NUEVO LEON,11/23/2010
NUEVO LEON,12/18/2010
NUEVO LEON,11/19/2010
NUEVO LEON,11/19/2010
NUEVO LEON,11/19/2010
NUEVO LEON,11/19/2010
NUEVO LEON,9/7/2010
NUEVO LEON,11/2/2010
NUEVO LEON,2/25/2009
NUEVO LEON,4/20/2009
NUEVO LEON,7/1/2009
NUEVO LEON,10/14/2009
NUEVO LEON,11/15/2009
NUEVO LEON,10/15/2009
NUEVO LEON,12/28/2009
NUEVO LEON,10/17/2008
NUEVO LEON,8/4/2008
NUEVO LEON,8/4/2008
NUEVO LEON,10/25/2008
NUEVO LEON,10/30/2008
NUEVO LEON,9/29/2008
NUEVO LEON,9/29/2008
NUEVO LEON,4/22/2007
NUEVO LEON,5/17/2007
NUEVO LEON,6/27/2007
NUEVO LEON,6/27/2007
NUEVO LEON,6/27/2007
NUEVO LEON,5/16/2007
NUEVO LEON,8/4/2007
NUEVO LEON,9/10/2007
NUEVO LEON,8/1/2007
NUEVO LEON,10/28/2007
NUEVO LEON,12/22/2006
NUEVO LEON,10/14/2010
NUEVO LEON,11/3/2011
NUEVO LEON,11/6/2011
NUEVO LEON,2/26/2009
NUEVO LEON,11/14/2011
NUEVO LEON,3/1/2011
NUEVO LEON,6/17/2011
NUEVO LEON,1/10/2012
NUEVO LEON,12/27/2011
NUEVO LEON,1/7/2011
NUEVO LEON,2/12/2012
NUEVO LEON,12/4/2011
NUEVO LEON,1/12/2011
NUEVO LEON,3/5/2012
NUEVO LEON,3/29/2012
NUEVO LEON,3/27/2012
NUEVO LEON,3/20/2012
DURANGO,5/11/2006
DURANGO,3/18/2007
DURANGO,5/7/2007
DURANGO,3/19/2007
DURANGO,8/10/2007
DURANGO,8/17/2007
DURANGO,6/6/2007
DURANGO,3/9/2008
DURANGO,6/6/2008
DURANGO,6/15/2008
DURANGO,7/7/2008
DURANGO,7/16/2008
DURANGO,8/1/2008
DURANGO,8/2/2008
DURANGO,8/5/2008
DURANGO,10/11/2008
DURANGO,10/19/2008
DURANGO,1/2/2009
DURANGO,1/2/2009
DURANGO,2/6/2009
JALISCO,1/1/2006
DURANGO,2/11/2009
DURANGO,2/19/2009
DURANGO,2/22/2009
DURANGO,2/22/2009
DURANGO,2/19/2009
DURANGO,3/23/2009
DURANGO,5/1/2009
DURANGO,5/11/2009
DURANGO,4/26/2008
AGUASCALIENTES,NO ESPECIFICADO
DURANGO,6/20/2009
DURANGO,7/11/2009
DURANGO,8/31/2009
DURANGO,4/14/2009
DURANGO,9/17/2009
NO ESPECIFICADO,10/2/2009
DURANGO,11/22/2009
DURANGO,6/17/2009
DURANGO,1/28/2010
DURANGO,1/28/2010
DURANGO,1/28/2010
DURANGO,1/28/2010
DURANGO,2/6/2010
DURANGO,3/29/2009
DURANGO,2/28/2010
DURANGO,3/1/2010
DURANGO,3/5/2010
DURANGO,3/5/2010
DURANGO,3/5/2010
DURANGO,3/5/2010
DURANGO,3/5/2010
DURANGO,3/5/2010
DURANGO,3/4/2010
DURANGO,3/13/2010
DURANGO,3/13/2010
DURANGO,3/13/2010
DURANGO,3/13/2010
DURANGO,3/13/2010
DURANGO,3/18/2010
DURANGO,3/20/2010
DURANGO,3/24/2010
DURANGO,3/24/2010
DURANGO,2/15/2010
DURANGO,3/27/2010
DURANGO,4/1/2010
DURANGO,4/12/2010
DURANGO,4/19/2010
DURANGO,4/15/2010
DURANGO,4/1/2010
DURANGO,7/1/2008
DURANGO,4/25/2010
DURANGO,4/3/2010
DURANGO,5/6/2010
ZACATECAS,4/16/2010
DURANGO,5/15/2010
SINALOA,5/15/2010
SINALOA,5/15/2010
DURANGO,5/20/2010
DURANGO,5/22/2010
DURANGO,5/24/2010
DURANGO,2/19/2010
DURANGO,6/9/2010
DURANGO,6/27/2010
DURANGO,6/27/2010
DURANGO,7/15/2010
DURANGO,7/5/2010
DURANGO,7/30/2010
DURANGO,8/1/2010
DURANGO,8/2/2010
DURANGO,8/2/2010
DURANGO,8/19/2010
DURANGO,8/21/2010
DURANGO,8/28/2010
DURANGO,9/5/2010
DURANGO,8/5/2010
DURANGO,8/11/2010
DURANGO,9/7/2010
DURANGO,7/28/2010
DURANGO,9/6/2010
DURANGO,6/30/2008
DURANGO,9/13/2010
DURANGO,9/14/2010
DURANGO,9/17/2010
DURANGO,9/15/2010
DURANGO,9/15/2010
DURANGO,9/18/2010
DURANGO,9/6/2010
DURANGO,9/25/2010
DURANGO,9/2/2010
DURANGO,9/2/2010
DURANGO,10/5/2010
DURANGO,10/27/2010
DURANGO,10/25/2010
DURANGO,9/16/2010
DURANGO,10/1/2010
DURANGO,11/7/2010
DURANGO,11/9/2010
DURANGO,11/6/2010
DURANGO,11/17/2010
DURANGO,11/18/2010
DURANGO,8/18/2010
DURANGO,11/19/2010
DURANGO,11/24/2010
DURANGO,11/29/2010
DURANGO,11/27/2010
DURANGO,12/2/2010
DURANGO,12/5/2010
DURANGO,12/3/2010
DURANGO,11/29/2010
DURANGO,12/24/2010
ZACATECAS,1/5/2011
DURANGO,1/10/2011
DURANGO,1/17/2011
DURANGO,1/21/2011
DURANGO,1/24/2011
DURANGO,1/24/2011
DURANGO,1/25/2011
DURANGO,1/29/2011
DURANGO,12/16/2010
DURANGO,2/2/2010
DURANGO,2/8/2011
DURANGO,2/7/2011
DURANGO,2/8/2011
DURANGO,3/3/2011
DURANGO,2/28/2011
DURANGO,2/21/2011
DURANGO,3/23/2011
DURANGO,3/31/2011
DURANGO,4/3/2011
DURANGO,4/3/2011
DURANGO,4/3/2011
DURANGO,4/7/2011
DURANGO,10/27/2010
DURANGO,4/22/2010
DURANGO,5/27/2010
DURANGO,5/27/2010
DURANGO,4/2/2011
DURANGO,6/12/2009
DURANGO,2/11/2009
DURANGO,9/14/2009
DURANGO,4/21/2011
DURANGO,3/27/2010
DURANGO,12/12/2009
DURANGO,7/15/2010
DURANGO,7/15/2010
DURANGO,11/29/2010
DURANGO,1/21/2010
DURANGO,NO ESPECIFICADO
DURANGO,2/24/2011
DURANGO,2/24/2011
DURANGO,11/29/2007
DURANGO,11/9/2007
DURANGO,3/8/2011
DURANGO,NO ESPECIFICADO
DURANGO,4/20/2010
SINALOA,3/27/2011
DURANGO,4/27/2009
DURANGO,2/24/2010
DURANGO,1/26/2011
DURANGO,9/14/2010
DURANGO,9/14/2010
DURANGO,9/14/2010
DURANGO,7/12/2011
DURANGO,12/1/2008
DURANGO,5/10/2007
DURANGO,5/27/2011
DURANGO,3/6/2011
DURANGO,7/29/2011
DURANGO,8/5/2011
DURANGO,8/14/2011
DURANGO,8/26/2011
DURANGO,3/15/2010
DURANGO,9/22/2011
DURANGO,9/27/2011
DURANGO,9/27/2011
DURANGO,10/5/2011
DURANGO,9/14/2011
DURANGO,NO ESPECIFICADO
DURANGO,11/24/2011
DURANGO,12/10/2011
DURANGO,11/2/2011
DURANGO,1/26/2012
DURANGO,2/3/2012
DURANGO,2/23/2012
DURANGO,3/31/2012
DURANGO,4/27/2012
DURANGO,4/15/2012
DURANGO,4/25/2012
BAJA CALIFORNIA SUR,10/14/2010
BAJA CALIFORNIA SUR,4/13/2010
BAJA CALIFORNIA SUR,7/5/2009
BAJA CALIFORNIA SUR,9/14/2008
BAJA CALIFORNIA SUR,9/16/2008
BAJA CALIFORNIA SUR,7/16/2010
BAJA CALIFORNIA,8/3/2008
BAJA CALIFORNIA,5/16/2009
BAJA CALIFORNIA,5/16/2009
BAJA CALIFORNIA,5/16/2009
BAJA CALIFORNIA,6/12/2010
BAJA CALIFORNIA,1/9/2010
BAJA CALIFORNIA,1/9/2010
BAJA CALIFORNIA,7/26/2011
BAJA CALIFORNIA,NO ESPECIFICADO
BAJA CALIFORNIA,NO ESPECIFICADO
BAJA CALIFORNIA,NO ESPECIFICADO
BAJA CALIFORNIA,NO ESPECIFICADO
BAJA CALIFORNIA,2/16/2008
BAJA CALIFORNIA,4/2/2008
BAJA CALIFORNIA,4/2/2008
BAJA CALIFORNIA,4/2/2008
BAJA CALIFORNIA,1/28/2008
BAJA CALIFORNIA,3/13/2008
BAJA CALIFORNIA,2/24/2008
BAJA CALIFORNIA,3/11/2008
BAJA CALIFORNIA,3/11/2008
BAJA CALIFORNIA,3/11/2008
BAJA CALIFORNIA,5/22/2008
BAJA CALIFORNIA,8/14/2007
BAJA CALIFORNIA,12/9/2007
BAJA CALIFORNIA,7/2/2008
BAJA CALIFORNIA,8/21/2008
BAJA CALIFORNIA,8/21/2008
BAJA CALIFORNIA,8/21/2008
BAJA CALIFORNIA,8/23/2008
BAJA CALIFORNIA,8/23/2008
BAJA CALIFORNIA,3/10/2008
BAJA CALIFORNIA,12/8/2008
BAJA CALIFORNIA,12/8/2008
BAJA CALIFORNIA,12/8/2008
BAJA CALIFORNIA,6/11/2008
BAJA CALIFORNIA,9/16/2008
BAJA CALIFORNIA,10/20/2007
BAJA CALIFORNIA,7/22/2009
BAJA CALIFORNIA,10/16/2009
BAJA CALIFORNIA,2/9/2009
BAJA CALIFORNIA,10/23/2009
BAJA CALIFORNIA,10/10/2009
BAJA CALIFORNIA,9/11/2008
BAJA CALIFORNIA,4/29/2010
BAJA CALIFORNIA,8/8/2010
BAJA CALIFORNIA,8/8/2010
BAJA CALIFORNIA,NO ESPECIFICADO
BAJA CALIFORNIA,1/3/1989
BAJA CALIFORNIA,1/3/1989
BAJA CALIFORNIA,1/3/1989
BAJA CALIFORNIA,11/10/2011
BAJA CALIFORNIA,11/16/2011
SINALOA,12/24/2007
SINALOA,12/5/2010
SINALOA,12/2/2010
SINALOA,5/16/2010
SINALOA,7/15/2010
SINALOA,7/14/2010
SINALOA,5/21/2010
SINALOA,5/24/2010
SINALOA,10/6/2010
SINALOA,1/12/2010
SINALOA,1/12/2010
SINALOA,1/13/2010
SINALOA,8/10/2009
SINALOA,12/4/2009
SINALOA,12/26/2009
SINALOA,3/11/2010
SINALOA,4/11/2010
SINALOA,2/20/2010
SINALOA,4/13/2010
SINALOA,4/13/2010
SINALOA,4/3/2010
SINALOA,3/12/2010
SINALOA,1/24/2010
SINALOA,4/21/2010
SINALOA,5/1/2010
SINALOA,4/26/2010
SINALOA,5/15/2010
SINALOA,4/17/2010
SINALOA,4/22/2010
SINALOA,5/11/2010
SINALOA,5/8/2010
SINALOA,5/8/2010
SINALOA,6/4/2010
SINALOA,6/5/2010
SINALOA,2/23/2010
SINALOA,4/3/2010
SINALOA,5/11/2010
SINALOA,4/13/2010
SINALOA,3/3/2010
SINALOA,7/27/2010
SINALOA,7/20/2010
SINALOA,8/8/2010
SINALOA,7/15/2010
SINALOA,8/18/2010
SINALOA,8/18/2010
SINALOA,8/9/2010
SINALOA,9/25/2010
SINALOA,10/8/2010
SINALOA,9/16/2010
SINALOA,10/15/2010
SINALOA,7/13/2010
SINALOA,10/15/2010
SINALOA,1/8/2010
SINALOA,9/13/2010
SINALOA,9/21/2010
SINALOA,11/16/2010
SINALOA,11/22/2010
SINALOA,11/18/2010
SINALOA,2/28/2010
SINALOA,1/12/2010
SINALOA,1/12/2010
SINALOA,1/11/2010
SINALOA,1/12/2010
SINALOA,1/12/2010
SINALOA,4/15/2010
SINALOA,7/8/2010
SINALOA,7/16/2010
SINALOA,8/8/2010
SINALOA,9/28/2010
SINALOA,9/28/2010
SINALOA,9/28/2010
SINALOA,9/28/2010
SINALOA,9/28/2010
SINALOA,9/28/2010
SINALOA,9/28/2010
SINALOA,1/4/2010
SINALOA,11/19/2010
SINALOA,6/7/2010
SINALOA,6/23/2010
SINALOA,7/8/2010
SINALOA,8/7/2010
SINALOA,10/14/2010
SINALOA,10/14/2010
SINALOA,11/25/2010
SINALOA,1/25/2010
SINALOA,7/4/2010
SINALOA,12/26/2010
SINALOA,3/3/2010
SINALOA,12/30/2009
SINALOA,3/14/2010
SINALOA,5/12/2010
SINALOA,6/7/2010
SINALOA,8/2/2010
SINALOA,4/27/2010
SINALOA,3/13/2010
SINALOA,3/13/2010
SINALOA,3/22/2010
SINALOA,4/20/2010
SINALOA,5/4/2010
SINALOA,5/26/2010
SINALOA,5/26/2010
SINALOA,5/28/2010
SINALOA,6/6/2010
SINALOA,6/11/2010
SINALOA,6/18/2010
SINALOA,6/20/2010
SINALOA,6/25/2010
SINALOA,2/12/2010
SINALOA,2/12/2010
SINALOA,2/12/2010
SINALOA,6/29/2010
SINALOA,7/7/2010
SINALOA,7/6/2010
SINALOA,7/28/2010
SINALOA,7/27/2010
SINALOA,8/7/2010
SINALOA,8/23/2010
SINALOA,8/22/2010
SINALOA,9/3/2010
SINALOA,7/18/2010
SINALOA,7/12/2010
SINALOA,9/17/2010
SINALOA,9/18/2010
SINALOA,9/27/2010
SINALOA,10/28/2010
SINALOA,11/13/2010
SINALOA,11/13/2010
SINALOA,11/16/2010
SINALOA,11/22/2010
SINALOA,11/25/2010
SINALOA,11/22/2010
SINALOA,12/4/2010
SINALOA,12/14/2010
SINALOA,12/26/2010
SINALOA,12/27/2010
SINALOA,1/17/2010
SINALOA,5/29/2010
SINALOA,5/29/2010
SINALOA,6/11/2010
SINALOA,7/23/2010
SINALOA,4/4/2010
SINALOA,4/13/2010
SINALOA,10/30/2010
SINALOA,2/3/2010
SINALOA,6/8/2010
SINALOA,10/5/2010
SINALOA,2/26/2011
SINALOA,2/26/2011
SINALOA,2/26/2011
SINALOA,6/18/2011
SINALOA,9/28/2011
SINALOA,10/29/2011
SINALOA,3/30/2011
SINALOA,3/30/2011
